name,company,linkedin_url,source,headline,current_company,location,follower_count
Eric Nowoslawski,Growth Engine X,https://www.linkedin.com/in/outboundphd/,useful-resources,Founder Growth Engine X | Clay Enterprise Partner,Growth Engine X,"New York City, United States of America",48833
Jordan Crawford,GTM Consultant,https://www.linkedin.com/in/jordan-crawford-02356a135/,useful-resources,,,,
Brady,Clay,https://www.linkedin.com/in/misterbrady/,useful-resources,Sales needs more “AI” (Authentic Interactions) | Taking your MRR from WTF -​> LFG,misterbrady.com,"Lisbon, Lisbon, Portugal",7841
Hannah Stulberg,DoorDash,https://www.linkedin.com/in/hannah-stulberg/,useful-resources,Product @ DoorDash | x-Google APM,DoorDash,"New York, New York, United States of America",2811
